customer_id,revenue,most_recent_visit,number_of_orders,recency_days
27687,1491,9/23/2006,15,100
29071,900,3/8/2006,10,299
17783,634,10/18/2006,9,75
30175,1001,11/28/2006,7,34
28666,557,6/9/2006,5,206
2000,2030,5/17/2006,17,229
917,879,7/25/2006,9,160
17159,1328,10/10/2006,11,83
20665,1085,10/5/2006,10,88
12936,582,2/7/2006,8,328
32446,1144,10/7/2006,14,86
25873,1702,9/23/2006,15,100
7156,981,7/23/2006,7,162
8513,1643,7/17/2006,17,168
24457,819,12/4/2006,8,28
18079,1073,10/31/2006,13,62
7793,807,6/16/2006,11,199
20341,680,2/7/2006,6,328
30691,866,10/30/2006,9,63
30806,1121,10/4/2006,12,89
31224,1202,6/18/2006,12,197
8741,1123,9/5/2006,12,118
13867,1051,12/2/2006,9,30
9989,900,10/22/2006,7,71
28926,1246,7/16/2006,9,169
18254,777,4/23/2006,6,253
29671,872,7/3/2006,11,182
6297,823,8/12/2005,9,507
30683,742,7/1/2006,8,184
2296,1426,5/22/2006,13,224
3973,1018,6/18/2006,11,197
22453,2415,6/14/2006,22,201
3457,632,9/23/2006,8,100
7967,437,12/26/2005,6,371
39772,800,6/8/2006,11,207
29659,633,9/21/2006,10,102
2774,624,11/20/2005,8,407
38268,719,10/28/2006,11,65
34261,1091,8/2/2006,9,152
12275,1444,7/21/2006,11,164
39202,1049,8/29/2006,9,125
27051,1140,9/2/2006,11,121
35954,491,7/26/2006,7,159
10190,948,10/17/2006,11,76
16006,1180,9/5/2006,11,118
25779,1148,12/25/2006,13,7
1504,1525,2/25/2006,14,310
34310,983,9/27/2006,11,96
10998,1112,11/8/2005,9,419
12292,900,8/20/2006,8,134
2644,384,5/9/2006,6,237
5653,1227,11/1/2005,11,426
38843,883,11/30/2006,8,32
21013,500,9/23/2006,7,100
22498,1271,5/21/2006,11,225
29754,1349,7/31/2006,12,154
18318,1851,11/21/2006,15,41
13024,725,12/12/2006,8,20
22792,1149,10/6/2006,13,87
31360,995,5/8/2006,8,238
37142,842,10/29/2006,9,64
27121,894,10/11/2006,9,82
26011,945,8/6/2006,9,148
29184,720,11/23/2006,7,39
5193,1023,6/7/2006,10,208
17496,2271,12/10/2006,18,22
24952,560,8/12/2006,8,142
32110,1103,10/7/2006,9,86
8646,930,5/15/2006,12,231
35135,1318,12/10/2005,14,387
39649,593,9/9/2006,11,114
36585,149,9/15/2006,4,108
27101,654,11/7/2006,6,55
10812,1156,12/13/2006,12,19
8914,533,6/1/2006,8,214
10263,505,7/16/2006,10,169
16405,754,12/17/2006,12,15
25717,1214,10/9/2006,12,84
21622,964,8/6/2006,10,148
34245,764,3/3/2006,7,304
16074,834,11/15/2006,8,47
37480,615,8/18/2006,6,136
5054,1009,7/25/2006,9,160
6636,909,8/10/2006,12,144
9520,571,11/4/2005,6,423
15231,1177,9/20/2006,10,103
5757,1033,9/16/2006,14,107
21659,763,12/8/2005,6,389
20760,722,11/21/2006,8,41
36871,732,7/21/2006,9,164
10495,887,4/21/2006,7,255
13806,608,10/11/2006,6,82
24444,726,9/12/2006,8,111
5177,297,10/20/2005,5,438
15109,1168,8/27/2006,13,127
35969,981,1/14/2006,11,352
22449,976,7/7/2006,10,178
2231,913,7/10/2006,10,175
10420,1167,12/23/2006,11,9
18416,1095,11/23/2006,11,39
2899,1600,10/4/2006,14,89
24247,368,9/16/2006,6,107
2145,263,6/4/2006,4,211
4072,1563,9/27/2006,16,96
22705,926,2/1/2006,7,334
36898,1100,12/3/2006,13,29
39408,891,11/30/2006,8,32
18503,1515,11/18/2006,19,44
23122,853,11/16/2005,10,411
32513,1091,7/14/2006,13,171
11448,705,10/19/2005,9,439
28714,1196,10/21/2006,12,72
20927,1625,3/23/2006,16,284
7164,1263,11/2/2006,14,60
39877,507,11/16/2005,5,411
37491,950,12/15/2006,9,17
21637,928,7/2/2006,8,183
17025,973,7/10/2006,9,175
7743,723,7/14/2006,8,171
25080,897,10/6/2006,9,87
29282,535,7/29/2006,8,156
28175,377,7/13/2006,5,172
39110,482,6/12/2005,5,568
17686,1296,10/24/2005,11,434
36507,1865,6/28/2006,14,187
20098,869,6/16/2006,8,199
24584,1372,1/27/2006,10,339
36217,697,2/8/2006,9,327
1323,954,12/22/2006,11,10
29299,496,9/18/2005,5,470
23598,1125,8/13/2006,12,141
33293,458,10/9/2006,7,84
13768,963,9/22/2006,11,101
30224,748,10/15/2005,7,443
24187,554,8/30/2005,9,489
883,745,11/23/2006,10,39
33879,762,6/18/2006,9,197
38706,1318,6/10/2006,11,205
30394,1523,9/7/2006,18,116
28136,747,8/26/2006,8,128
15562,611,4/13/2006,9,263
31899,872,5/25/2006,9,221
5959,875,12/20/2005,8,377
16947,672,12/11/2005,8,386
37362,1061,11/2/2006,11,60
19121,479,9/15/2005,6,473
10200,618,10/3/2006,6,90
39909,1140,11/7/2005,16,420
30062,1017,9/18/2006,10,105
9905,696,6/23/2006,9,192
20413,1349,12/22/2006,15,10
28604,621,10/24/2006,9,69
28565,1190,9/24/2006,11,99
31166,946,11/22/2006,11,40
19999,1268,11/25/2006,14,37
31452,583,7/2/2006,7,183
36596,1995,10/9/2006,19,84
9621,1180,5/1/2006,12,245
36905,666,9/6/2006,7,117
27803,1116,8/9/2006,10,145
22900,891,5/4/2006,10,242
14806,867,7/22/2006,9,163
19111,464,12/4/2005,8,393
36774,863,5/10/2006,7,236
27588,1236,3/8/2006,11,299
8270,483,5/20/2006,6,226
2966,754,12/16/2006,10,16
28095,819,7/23/2006,9,162
3046,793,3/14/2006,5,293
4940,793,8/25/2006,12,129
39205,893,5/11/2006,10,235
5744,1291,11/1/2006,11,61
26551,819,10/12/2006,8,81
11025,658,8/18/2006,9,136
908,371,6/16/2005,6,564
37148,733,12/19/2005,7,378
4879,784,7/29/2006,8,156
22495,811,10/11/2006,10,82
31010,1139,6/5/2006,11,210
35809,1010,9/14/2006,8,109
39009,1035,12/7/2006,13,25
13428,733,11/28/2006,11,34
13349,1693,12/3/2006,18,29
37785,1282,8/22/2006,13,132
29860,1003,10/3/2006,9,90
36319,689,3/6/2006,6,301
39537,758,12/18/2005,7,379
1973,507,11/24/2005,8,403
33922,746,7/10/2006,7,175
36812,1185,12/16/2006,14,16
20148,1173,10/1/2006,14,92
33267,350,6/18/2006,8,197
31300,576,6/8/2006,8,207
33848,1044,7/30/2005,11,520
25846,226,9/29/2006,4,94
14512,1570,8/15/2006,16,139
39436,749,6/22/2006,8,193
38592,1020,9/8/2006,10,115
13499,1086,9/6/2006,11,117
37793,1072,12/11/2006,10,21
19840,512,10/7/2006,5,86
27981,1317,11/21/2005,11,406
26218,992,9/28/2006,10,95
10918,362,9/2/2006,6,121
34435,1156,10/11/2006,19,82
13929,862,10/8/2006,10,85
21723,1486,10/29/2006,16,64
6161,418,11/27/2005,7,400
37998,888,11/18/2006,9,44
10445,1396,7/1/2006,11,184
30780,1196,10/2/2006,13,91
24467,1373,10/15/2006,13,78
29251,1558,9/23/2005,15,465
24572,968,11/1/2005,12,426
29481,807,9/18/2006,8,105
18222,963,11/17/2006,11,45
12401,954,10/10/2006,11,83
15916,927,9/30/2006,11,93
30475,238,3/8/2006,5,299
27477,1161,9/27/2006,10,96
39232,1024,11/1/2005,10,426
23586,939,8/20/2006,8,134
19161,990,10/3/2006,11,90
35957,413,6/18/2006,7,197
13018,1163,4/2/2006,12,274
14184,1337,8/8/2006,13,146
19413,540,12/20/2005,9,377
8807,476,12/24/2005,6,373
18742,358,10/7/2006,6,86
28457,551,6/15/2005,5,565
19305,810,9/25/2006,10,98
17180,1738,9/9/2006,18,114
19695,1089,12/14/2006,15,18
12563,979,7/21/2006,11,164
12627,1637,7/17/2006,16,168
21154,1294,9/11/2005,13,477
717,1397,9/7/2006,16,116
6961,1842,12/16/2006,18,16
38454,1031,10/21/2005,12,437
6822,914,11/10/2006,9,52
39783,673,7/14/2006,8,171
463,735,7/10/2006,6,175
26317,446,5/30/2006,4,216
21305,879,8/31/2006,11,123
24592,952,6/10/2006,9,205
9716,748,9/8/2006,7,115
13951,1396,10/25/2006,14,68
12123,1645,8/8/2006,16,146
23274,978,11/22/2006,10,40
38353,675,2/17/2006,7,318
18521,446,5/11/2006,4,235
29558,1468,8/20/2006,12,134
31147,810,10/23/2006,11,70
10353,798,11/22/2005,9,405
7404,1200,6/27/2006,12,188
4421,789,9/18/2006,8,105
1536,1388,9/2/2006,15,121
32555,1132,9/9/2006,8,114
1593,872,9/3/2006,14,120
17637,915,10/30/2006,10,63
17599,1101,8/2/2006,12,152
590,500,11/15/2005,7,412
20096,1038,9/1/2006,11,122
15422,1098,11/20/2006,13,42
9434,822,8/4/2006,12,150
6231,1377,7/25/2006,12,160
25491,1305,3/8/2006,12,299
11662,602,8/29/2006,7,125
11814,621,7/20/2006,9,165
20926,749,11/27/2005,9,400
34610,893,6/2/2006,7,213
5694,667,6/25/2006,6,190
3907,1063,10/22/2006,11,71
6464,782,11/16/2006,8,46
34966,499,6/18/2006,5,197
23295,1414,11/29/2006,14,33
7500,777,10/26/2006,7,67
26857,1133,11/13/2006,11,49
8549,821,9/9/2005,8,479
22648,581,3/30/2006,9,277
24794,722,11/2/2006,9,60
4035,1243,7/25/2006,9,160
5749,768,7/27/2006,7,158
27837,1242,8/26/2006,11,128
9853,1235,6/21/2006,16,194
8679,654,3/4/2006,6,303
36795,738,10/27/2006,9,66
25215,1130,8/18/2006,9,136
3322,1037,5/31/2006,11,215
10035,595,10/25/2006,8,68
1254,846,5/11/2006,11,235
10953,480,5/24/2006,3,222
29209,610,9/24/2006,7,99
17616,1112,10/12/2006,12,81
36755,1176,12/2/2006,12,30
29096,683,7/23/2006,7,162
26941,612,4/20/2006,10,256
31331,971,10/12/2006,10,81
38179,1367,5/11/2006,12,235
38562,847,7/20/2006,8,165
29309,831,7/3/2006,12,182
18007,869,7/28/2006,10,157
12639,743,6/18/2006,8,197
27606,801,8/2/2006,11,152
846,381,1/28/2006,5,338
27644,737,6/10/2006,8,205
34125,775,6/17/2006,8,198
16951,521,8/13/2006,8,141
33610,736,2/21/2006,8,314
38857,1572,8/1/2006,15,153
944,980,6/16/2006,8,199
35759,883,8/11/2006,9,143
38138,672,12/28/2005,6,369
39921,500,7/20/2006,7,165
13610,899,7/1/2006,11,184
1244,287,7/13/2005,4,537
33171,751,8/7/2006,12,147
16363,744,8/20/2006,7,134
38260,662,10/27/2006,8,66
15289,1336,6/13/2006,13,202
39648,1116,11/21/2006,14,41
16739,624,10/3/2006,8,90
18808,1090,10/6/2006,11,87
16399,513,5/13/2006,8,233
13471,1337,1/16/2006,15,350
27623,1438,10/10/2006,13,83
33844,837,10/2/2006,12,91
15079,1176,11/4/2006,9,58
16428,1332,6/3/2006,13,212
13874,945,10/25/2006,12,68
14192,994,7/7/2006,10,178
17274,1070,3/2/2006,12,305
18229,806,7/10/2006,11,175
31880,498,7/12/2005,4,538
21996,956,9/14/2006,12,109
38112,979,4/19/2006,10,257
38580,1009,10/26/2006,10,67
1383,1349,3/22/2006,10,285
17388,1119,9/3/2006,12,120
29943,1035,6/3/2006,10,212
5312,418,2/15/2006,5,320
39795,713,9/14/2005,8,474
39012,793,6/25/2006,6,190
16818,889,9/27/2006,12,96
16763,1306,11/8/2006,13,54
15359,1271,6/2/2006,10,213
12831,499,10/3/2005,6,455
32215,2593,9/8/2006,23,115
39066,709,8/15/2006,8,139
37056,837,8/6/2006,8,148
25395,1672,10/4/2006,16,89
17880,1291,12/17/2006,15,15
1913,1604,10/27/2006,14,66
27444,870,7/6/2006,9,179
29346,1237,10/20/2006,11,73
38085,553,2/6/2006,6,329
36313,676,5/12/2006,8,234
36391,722,8/2/2005,10,517
39241,1111,7/25/2006,12,160
8255,1034,11/16/2006,8,46
22461,1024,11/16/2005,10,411
1924,1387,12/18/2006,13,14
6187,1640,11/7/2006,13,55
29074,1079,5/29/2006,10,217
23099,522,8/14/2006,6,140
4007,1601,8/8/2006,13,146
5407,523,9/7/2006,5,116
4816,2134,11/11/2006,23,51
35895,897,8/6/2006,9,148
35315,809,7/1/2006,8,184
9817,983,12/30/2005,8,367
368,1079,5/12/2006,11,234
20994,967,10/6/2006,10,87
2073,882,11/21/2006,9,41
32667,1161,7/19/2006,13,166
25899,1498,8/12/2006,16,142
20190,1166,12/22/2006,11,10
12620,1266,11/17/2006,11,45
3658,901,7/18/2006,12,167
38409,683,11/23/2006,9,39
25437,637,6/24/2006,8,191
9788,1730,8/14/2006,15,140
15485,824,5/7/2006,8,239
3955,1219,8/7/2006,12,147
15588,920,5/25/2006,9,221
15894,858,8/7/2006,11,147
17210,705,10/15/2006,9,78
11979,633,9/25/2006,8,98
2113,1081,8/21/2006,10,133
5497,511,6/29/2006,8,186
15264,1253,7/25/2006,15,160
31528,567,8/9/2006,6,145
21126,602,8/17/2005,6,502
1788,1374,12/4/2006,13,28
16565,601,8/1/2006,8,153
2501,728,10/11/2006,9,82
1095,955,11/9/2005,9,418
16101,747,11/9/2006,10,53
24987,1064,8/17/2006,10,137
7754,1084,11/28/2005,8,399
27427,706,10/12/2005,7,446
19415,836,12/17/2006,11,15
25021,1309,8/21/2006,13,133
4759,670,5/11/2006,6,235
30403,728,8/22/2006,8,132
28326,1611,10/6/2006,15,87
13530,831,2/28/2006,8,307
25738,916,5/3/2006,8,243
19086,1424,7/19/2006,10,166
21538,1413,8/9/2006,11,145
37760,1168,3/15/2006,12,292
35320,1373,12/1/2006,11,31
17231,1232,5/31/2006,12,215
8116,1005,4/5/2006,12,271
13006,354,10/20/2005,4,438
11133,594,10/30/2005,6,428
5358,1125,12/14/2006,12,18
549,698,2/19/2006,9,316
13022,797,11/27/2005,9,400
9123,1125,4/20/2006,14,256
8183,1002,11/28/2006,10,34
13476,1131,12/1/2006,11,31
19514,1175,9/8/2006,13,115
25001,731,3/14/2006,10,293
15183,550,10/12/2005,5,446
21483,475,8/21/2005,5,498
26509,551,7/31/2006,5,154
22780,1609,10/6/2006,12,87
21409,1174,9/24/2006,12,99
17653,1302,4/6/2006,12,270
11308,795,12/29/2006,9,3
17963,841,8/14/2006,10,140
11601,898,5/17/2006,8,229
6861,890,9/13/2005,8,475
17529,535,8/20/2006,7,134
99,1609,7/2/2006,14,183
20016,1013,12/25/2005,9,372
17632,591,7/24/2006,7,161
31771,768,12/30/2006,7,2
39375,520,9/30/2006,4,93
18926,769,7/26/2006,11,159
19008,786,2/22/2006,9,313
21708,786,8/26/2006,8,128
26318,1079,5/26/2006,10,220
18303,1085,5/29/2006,11,217
18246,1733,10/19/2006,17,74
34600,547,6/6/2006,10,209
16083,695,9/4/2006,7,119
12882,694,4/30/2006,7,246
17532,698,10/20/2006,6,73
39815,1061,12/2/2006,11,30
31865,686,2/18/2006,5,317
15456,694,4/26/2006,9,250
18904,893,1/29/2006,10,337
14152,1298,8/11/2006,11,143
5689,869,8/31/2006,9,123
7792,669,9/9/2006,6,114
19267,1108,11/18/2006,9,44
31749,1003,8/11/2006,11,143
22953,937,6/22/2006,12,193
33915,1236,10/29/2006,11,64
30466,1027,6/15/2006,11,200
13214,919,7/5/2006,13,180
21738,887,7/20/2006,9,165
12428,886,8/23/2006,12,131
17711,950,7/20/2006,9,165
23150,1159,6/16/2006,11,199
14085,1138,11/27/2006,12,35
7495,669,8/13/2006,8,141
22864,747,4/22/2006,9,254
37276,397,4/30/2006,3,246
38538,939,8/2/2006,8,152
12374,721,12/19/2006,9,13
34703,746,11/7/2006,6,55
14442,741,11/4/2005,9,423
1580,404,2/28/2006,8,307
23754,462,9/12/2006,5,111
14397,1471,9/21/2006,14,102
19605,733,8/9/2006,9,145
2229,1722,7/20/2006,19,165
33567,813,4/30/2006,11,246
15132,852,10/22/2006,10,71
39557,1483,11/16/2006,16,46
29242,499,5/24/2006,6,222
28327,1213,7/25/2006,12,160
37003,642,7/24/2006,7,161
36345,368,7/21/2006,4,164
22616,1102,9/3/2006,10,120
31901,301,3/25/2006,6,282
14404,1004,12/9/2006,13,23
39030,1280,7/12/2006,14,173
17875,1002,2/16/2006,9,319
31963,675,9/22/2006,8,101
38676,684,1/11/2006,7,355
12502,1355,12/12/2006,13,20
6461,500,10/5/2006,7,88
38730,693,10/29/2005,8,429
38305,871,6/29/2006,8,186
6988,545,12/7/2005,5,390
23326,1015,6/21/2006,10,194
5790,635,6/21/2006,9,194
26004,1027,6/8/2006,11,207
29528,531,10/19/2005,5,439
7071,892,7/31/2005,6,519
25042,714,7/24/2006,8,161
35800,1308,9/5/2006,13,118
32159,787,5/30/2006,7,216
17109,633,9/5/2006,7,118
24123,1049,7/9/2006,7,176
25814,807,6/12/2006,9,203
17973,751,8/9/2006,9,145
36390,1371,4/29/2006,14,247
17382,578,11/9/2006,8,53
34725,378,6/20/2005,5,560
13254,1190,7/23/2006,14,162
14875,921,9/3/2006,8,120
26058,860,6/17/2006,11,198
35071,632,5/9/2006,9,237
23110,515,11/17/2006,6,45
37382,1719,9/25/2006,12,98
35992,1304,8/27/2006,12,127
5972,569,7/22/2006,7,163
2795,1167,5/23/2006,12,223
10752,923,10/1/2006,10,92
7210,712,9/27/2006,7,96
30745,656,9/13/2006,8,110
32343,1065,8/23/2006,9,131
4533,934,6/17/2006,11,198
29382,1318,10/27/2006,13,66
26033,1267,9/29/2006,12,94
14109,779,10/17/2006,10,76
37680,1148,8/25/2006,12,129
38550,841,5/23/2006,8,223
10397,1086,10/12/2006,15,81
9317,908,11/13/2005,11,414
13449,1008,12/16/2006,14,16
37558,751,1/3/2006,9,363
33717,803,12/23/2005,9,374
19835,286,7/5/2006,4,180
1211,1121,6/28/2006,12,187
34456,711,1/9/2006,10,357
24263,518,9/10/2006,11,113
33990,1203,12/30/2006,15,2
22153,1493,10/1/2006,13,92
16395,1304,12/21/2005,13,376
34067,615,9/24/2006,7,99
36438,1508,10/28/2006,12,65
37805,860,12/19/2006,10,13
29206,585,4/25/2006,6,251
11935,1124,9/25/2006,11,98
16153,1007,12/24/2006,12,8
35354,916,7/26/2006,10,159
1527,170,3/19/2005,2,653
11196,1068,7/9/2006,13,176
7361,1420,7/12/2006,13,173
36624,727,5/7/2006,6,239
36034,281,8/12/2005,4,507
18999,782,9/25/2006,10,98
5600,894,2/17/2006,9,318
3840,843,9/22/2006,11,101
12452,319,9/21/2006,5,102
28004,1167,6/6/2006,12,209
37578,615,11/12/2006,8,50
16402,742,11/3/2006,8,59
15387,1420,7/31/2006,13,154
8222,920,9/18/2006,12,105
29830,830,6/19/2006,9,196
3680,521,1/16/2006,5,350
26074,1228,12/17/2006,11,15
30699,1239,8/22/2006,13,132
21205,1364,8/24/2006,16,130
2526,329,11/5/2005,3,422
10108,896,10/12/2006,10,81
6003,752,11/24/2006,9,38
6619,1600,8/19/2006,15,135
12669,1240,1/31/2006,13,335
28971,881,6/6/2006,9,209
5698,1056,7/5/2006,9,180
38196,349,9/20/2006,6,103
24260,570,2/21/2006,5,314
25684,1347,5/5/2006,12,241
34546,614,5/14/2006,6,232
13693,1080,12/14/2006,11,18
31993,771,5/16/2006,10,230
5431,1073,6/8/2006,9,207
11846,1362,7/5/2006,12,180
24210,1560,6/24/2006,13,191
14595,473,7/26/2006,7,159
30129,993,6/15/2006,8,200
32868,983,12/23/2006,10,9
35564,508,7/12/2006,6,173
10025,1166,8/1/2006,13,153
17908,854,5/27/2006,11,219
29093,1225,8/5/2006,13,149
2716,1287,8/29/2006,14,125
3300,765,8/30/2006,7,124
9523,1078,11/23/2006,11,39
12090,893,11/9/2006,10,53
34184,1006,5/24/2006,9,222
4024,790,3/21/2006,11,286
6435,793,11/13/2006,7,49
8726,1031,9/7/2006,11,116
15795,1087,7/24/2006,12,161
19829,957,6/27/2006,11,188
32779,1245,12/29/2006,12,3
26617,1084,7/30/2006,11,155
11861,1255,9/15/2006,12,108
19266,1200,9/3/2006,10,120
25512,911,11/11/2006,11,51
1539,660,6/4/2006,9,211
30322,950,1/10/2006,9,356
2863,1662,8/21/2006,13,133
3121,555,10/29/2005,7,429
12846,1354,10/28/2006,13,65
31869,531,5/3/2006,6,243
28240,1022,4/20/2006,10,256
28157,652,8/16/2006,7,138
30592,1229,11/14/2006,15,48
11254,1012,7/25/2006,11,160
21700,726,6/23/2006,7,192
13565,989,7/9/2006,10,176
16517,672,7/2/2006,8,183
26496,1577,3/15/2006,11,292
18375,1070,9/16/2006,14,107
35177,483,5/6/2006,5,240
21163,431,11/13/2006,5,49
5466,544,6/13/2006,8,202
29856,676,8/24/2005,9,495
17368,963,6/19/2006,11,196
31516,670,10/4/2006,7,89
1215,721,6/24/2006,8,191
9256,849,11/8/2006,9,54
21002,456,11/20/2005,7,407
5673,1128,8/3/2006,10,151
7895,752,9/30/2006,9,93
4014,1719,5/16/2006,13,230
1291,288,1/24/2006,4,342
2056,769,5/26/2006,7,220
30521,848,8/29/2006,11,125
24068,778,8/16/2006,8,138
1668,845,12/6/2006,8,26
14845,1268,8/31/2006,12,123
17292,610,7/26/2006,6,159
27433,506,7/17/2006,6,168
5403,749,6/30/2006,9,185
32132,1087,12/3/2005,10,394
26180,569,9/16/2006,6,107
10392,818,7/21/2006,11,164
21277,1930,6/10/2006,15,205
19446,795,12/22/2006,9,10
33960,963,9/9/2006,9,114
7139,585,8/12/2006,6,142
1725,956,12/24/2005,8,373
14615,769,10/8/2006,10,85
2734,1386,1/8/2006,12,358
37677,1081,7/12/2006,9,173
35773,616,11/6/2006,10,56
4676,709,9/5/2005,9,483
18982,567,12/11/2005,4,386
7354,497,7/13/2006,7,172
4695,1382,8/2/2006,13,152
7131,347,6/23/2006,6,192
36124,1044,2/9/2006,11,326
36867,881,7/4/2006,8,181
12810,1347,8/25/2006,13,129
31160,815,6/23/2006,9,192
22961,752,9/12/2006,10,111
16256,1364,11/26/2006,12,36
10892,972,7/23/2006,11,162
806,1206,8/28/2005,8,491
3542,1530,12/3/2006,17,29
5144,757,11/18/2006,11,44
9747,929,8/11/2005,8,508
11512,1106,6/23/2005,10,557
4863,1346,10/6/2006,11,87
29812,823,8/21/2006,8,133
14826,870,10/4/2006,9,89
5073,580,5/5/2005,7,606
30434,630,12/9/2005,5,388
16324,1260,8/24/2006,11,130
4856,846,8/2/2006,9,152
13210,1195,9/10/2006,12,113
10306,895,8/31/2006,9,123
27678,1107,7/27/2006,10,158
448,544,9/11/2005,4,477
21153,883,7/15/2006,8,170
25645,846,6/11/2006,7,204
30904,681,6/24/2005,6,556
3292,616,10/27/2006,10,66
6389,972,12/8/2006,12,24
8062,789,5/30/2006,11,216
31471,1035,3/20/2006,12,287
15045,583,2/26/2006,8,309
7734,1292,11/25/2006,12,37
33795,959,9/12/2006,10,111
8117,1540,10/30/2006,13,63
515,482,7/1/2006,6,184
39860,1625,6/4/2006,16,211
4204,584,11/1/2006,8,61
28878,875,10/20/2006,9,73
36662,1647,8/3/2006,14,151
9400,458,10/26/2006,8,67
10220,1247,10/27/2006,13,66
10707,798,7/22/2006,9,163
24626,736,10/9/2006,7,84
192,890,4/17/2006,10,259
14964,725,4/22/2006,7,254
36899,470,8/2/2006,5,152
15842,711,5/22/2006,9,224
30236,609,8/9/2005,6,510
14461,666,8/1/2006,6,153
14914,944,7/15/2006,8,170
32379,1386,12/1/2006,14,31
14807,145,6/9/2006,2,206
16401,505,9/9/2006,7,114
12457,1033,10/31/2005,11,427
13494,1004,7/6/2006,11,179
26574,751,11/8/2006,9,54
15717,1091,12/28/2006,10,4
31547,1344,8/9/2006,13,145
24130,1048,10/6/2006,9,87
36864,1162,10/19/2006,8,74
33121,1022,12/21/2006,14,11
39879,735,12/21/2006,6,11
6854,824,6/14/2006,9,201
16479,739,3/12/2006,9,295
5268,970,10/17/2006,9,76
21019,930,6/15/2006,11,200
2572,34,7/26/2005,1,524
38741,623,5/8/2006,6,238
1968,863,9/24/2006,8,99
7240,970,9/19/2006,9,104
26683,684,6/9/2006,10,206
7125,798,9/23/2006,9,100
17846,906,12/20/2005,9,377
28047,622,8/19/2005,3,500
25500,935,12/6/2006,12,26
14432,692,12/2/2006,10,30
21297,1321,8/1/2006,12,153
33387,322,7/26/2006,6,159
18603,565,2/1/2006,8,334
19727,565,3/17/2006,6,290
13729,1084,10/7/2006,10,86
14183,1426,7/2/2006,18,183
5416,570,8/5/2006,10,149
25071,882,10/8/2006,10,85
6900,925,5/26/2006,9,220
6405,1404,10/9/2006,14,84
26544,1004,5/15/2006,11,231
27042,659,8/22/2006,8,132
10148,1389,8/7/2006,16,147
22257,1108,12/7/2006,12,25
133,1278,10/28/2005,13,430
20976,1182,8/27/2006,10,127
11096,1245,7/12/2006,11,173
8301,1221,12/12/2006,10,20
8534,1103,6/17/2006,10,198
32161,839,6/15/2006,11,200
29883,1371,8/15/2006,13,139
5737,935,6/12/2006,8,203
3991,1642,5/4/2006,16,242
25347,1360,9/2/2006,15,121
6197,1275,9/10/2006,14,113
7145,615,10/27/2005,6,431
25515,882,10/2/2006,9,91
19465,1411,12/24/2006,14,8
27868,1077,8/2/2006,12,152
9081,989,7/2/2006,12,183
30479,1064,4/21/2006,11,255
23129,936,3/30/2006,9,277
29399,871,6/15/2006,13,200
14331,1036,12/21/2006,14,11
3657,1122,10/10/2006,11,83
7647,508,9/24/2005,6,464
32757,743,9/7/2005,7,481
16745,984,10/7/2006,12,86
19526,970,7/25/2006,9,160
18148,573,6/17/2006,7,198
3191,1552,9/23/2006,13,100
12687,1010,9/20/2006,11,103
12618,669,11/9/2006,5,53
10344,1046,6/11/2006,9,204
4161,996,7/30/2006,9,155
11775,875,7/1/2006,8,184
17820,1128,8/18/2006,11,136
14583,936,9/13/2006,11,110
23660,698,9/20/2006,10,103
7117,277,11/3/2005,5,424
32221,1090,3/26/2006,10,281
28241,1479,11/19/2006,14,43
13999,635,5/18/2006,8,228
37859,731,12/21/2006,8,11
3523,790,11/9/2006,9,53
39192,1271,11/8/2006,10,54
493,1107,8/16/2006,9,138
29032,808,7/15/2006,7,170
3066,1019,9/22/2006,10,101
11285,1524,9/17/2006,12,106
37633,1114,9/4/2005,11,484
11986,1026,7/9/2006,11,176
701,1287,6/13/2006,14,202
10041,1128,10/30/2005,9,428
37786,1137,12/16/2006,12,16
20777,1079,12/20/2006,8,12
18746,649,3/30/2006,7,277
9579,679,7/15/2006,9,170
38233,265,9/19/2006,4,104
19365,763,8/15/2006,9,139
29112,1894,8/6/2006,20,148
14480,630,1/17/2006,6,349
28177,1548,4/12/2006,16,264
33997,1085,7/1/2006,11,184
2886,445,8/7/2006,4,147
59,1006,10/3/2006,10,90
36170,1201,1/31/2006,10,335
16502,1202,10/1/2006,11,92
33828,811,5/10/2006,13,236
12699,931,5/8/2006,10,238
6039,480,8/13/2006,7,141
11482,700,11/27/2006,8,35
24823,993,9/19/2006,13,104
39870,716,4/25/2006,7,251
495,868,10/9/2006,9,84
18395,444,10/6/2006,5,87
30058,800,10/15/2005,8,443
34707,1588,9/17/2006,16,106
9571,1730,3/14/2006,15,293
21331,190,11/1/2006,4,61
4981,1155,10/16/2006,11,77
15104,868,9/2/2006,8,121
4468,849,8/18/2005,9,501
23929,711,8/21/2006,8,133
39574,891,4/2/2006,9,274
30718,555,4/8/2006,7,268
24481,1315,10/29/2006,11,64
5758,191,11/12/2005,3,415
24991,642,10/8/2006,10,85
32473,1069,6/6/2006,13,209
26445,2130,10/16/2006,21,77
37626,1573,8/22/2006,18,132
22744,1299,7/22/2006,14,163
22689,1035,5/21/2006,8,225
21086,1092,3/13/2006,9,294
5226,983,9/6/2006,9,117
3312,1680,6/2/2006,16,213
13654,1170,8/25/2006,11,129
32096,1107,12/5/2006,10,27
7490,1159,9/26/2006,10,97
38230,1004,5/26/2006,8,220
23369,742,8/14/2006,8,140
29215,442,10/17/2006,3,76
12049,593,5/8/2006,6,238
25046,454,12/20/2005,6,377
